id,season,season_type,game_center_link
2010020082,20102011,2,/gamecenter/wsh-vs-bos/2010/10/21/2010020082
2010020083,20102011,2,/gamecenter/nyr-vs-tor/2010/10/21/2010020083
2010020084,20102011,2,/gamecenter/ana-vs-phi/2010/10/21/2010020084
2010020085,20102011,2,/gamecenter/cgy-vs-det/2010/10/21/2010020085
2010020086,20102011,2,/gamecenter/njd-vs-mtl/2010/10/21/2010020086
2010020087,20102011,2,/gamecenter/nyi-vs-tbl/2010/10/21/2010020087
2010020088,20102011,2,/gamecenter/dal-vs-fla/2010/10/21/2010020088
2010020089,20102011,2,/gamecenter/pit-vs-nsh/2010/10/21/2010020089
2010020090,20102011,2,/gamecenter/sjs-vs-col/2010/10/21/2010020090
2010020091,20102011,2,/gamecenter/min-vs-edm/2010/10/21/2010020091
2010020092,20102011,2,/gamecenter/lak-vs-phx/2010/10/21/2010020092
2010020093,20102011,2,/gamecenter/cgy-vs-cbj/2010/10/22/2010020093
2010020094,20102011,2,/gamecenter/ott-vs-buf/2010/10/22/2010020094
2010020095,20102011,2,/gamecenter/tbl-vs-atl/2010/10/22/2010020095
2010020096,20102011,2,/gamecenter/chi-vs-stl/2010/10/22/2010020096
2010020097,20102011,2,/gamecenter/min-vs-van/2010/10/22/2010020097
2010020098,20102011,2,/gamecenter/nyr-vs-bos/2010/10/23/2010020098
2010020099,20102011,2,/gamecenter/mtl-vs-ott/2010/10/23/2010020099
2010020100,20102011,2,/gamecenter/buf-vs-njd/2010/10/23/2010020100
2010020101,20102011,2,/gamecenter/tor-vs-phi/2010/10/23/2010020101
2010020102,20102011,2,/gamecenter/atl-vs-wsh/2010/10/23/2010020102
2010020103,20102011,2,/gamecenter/nyi-vs-fla/2010/10/23/2010020103
2010020104,20102011,2,/gamecenter/ana-vs-det/2010/10/23/2010020104
2010020105,20102011,2,/gamecenter/pit-vs-stl/2010/10/23/2010020105
2010020106,20102011,2,/gamecenter/nsh-vs-dal/2010/10/23/2010020106
2010020107,20102011,2,/gamecenter/cbj-vs-chi/2010/10/23/2010020107
2010020108,20102011,2,/gamecenter/lak-vs-col/2010/10/23/2010020108
2010020109,20102011,2,/gamecenter/car-vs-phx/2010/10/23/2010020109
2010020110,20102011,2,/gamecenter/sjs-vs-edm/2010/10/23/2010020110
2010020111,20102011,2,/gamecenter/nsh-vs-tbl/2010/10/24/2010020111
2010020112,20102011,2,/gamecenter/njd-vs-nyr/2010/10/24/2010020112
2010020113,20102011,2,/gamecenter/sjs-vs-cgy/2010/10/24/2010020113
2010020114,20102011,2,/gamecenter/phi-vs-cbj/2010/10/25/2010020114
2010020115,20102011,2,/gamecenter/phx-vs-mtl/2010/10/25/2010020115
2010020116,20102011,2,/gamecenter/lak-vs-min/2010/10/25/2010020116
2010020117,20102011,2,/gamecenter/fla-vs-tor/2010/10/26/2010020117
2010020118,20102011,2,/gamecenter/buf-vs-phi/2010/10/26/2010020118
2010020119,20102011,2,/gamecenter/phx-vs-ott/2010/10/26/2010020119
2010020120,20102011,2,/gamecenter/edm-vs-cgy/2010/10/26/2010020120
2010020121,20102011,2,/gamecenter/ana-vs-dal/2010/10/26/2010020121
2010020122,20102011,2,/gamecenter/col-vs-van/2010/10/26/2010020122
2010020123,20102011,2,/gamecenter/atl-vs-nyr/2010/10/27/2010020123
2010020124,20102011,2,/gamecenter/wsh-vs-car/2010/10/27/2010020124
2010020125,20102011,2,/gamecenter/nyi-vs-mtl/2010/10/27/2010020125
2010020126,20102011,2,/gamecenter/pit-vs-tbl/2010/10/27/2010020126
2010020127,20102011,2,/gamecenter/lak-vs-chi/2010/10/27/2010020127
2010020128,20102011,2,/gamecenter/njd-vs-sjs/2010/10/27/2010020128
2010020129,20102011,2,/gamecenter/tor-vs-bos/2010/10/28/2010020129
2010020131,20102011,2,/gamecenter/edm-vs-cbj/2010/10/28/2010020131
2010020132,20102011,2,/gamecenter/fla-vs-ott/2010/10/28/2010020132
2010020130,20102011,2,/gamecenter/phx-vs-det/2010/10/28/2010020130
2010020133,20102011,2,/gamecenter/stl-vs-nsh/2010/10/28/2010020133
2010020134,20102011,2,/gamecenter/wsh-vs-min/2010/10/28/2010020134
2010020135,20102011,2,/gamecenter/lak-vs-dal/2010/10/28/2010020135
2010020136,20102011,2,/gamecenter/col-vs-cgy/2010/10/28/2010020136
2010020137,20102011,2,/gamecenter/mtl-vs-nyi/2010/10/29/2010020137
2010020138,20102011,2,/gamecenter/car-vs-nyr/2010/10/29/2010020138
2010020139,20102011,2,/gamecenter/phi-vs-pit/2010/10/29/2010020139
2010020140,20102011,2,/gamecenter/buf-vs-atl/2010/10/29/2010020140
2010020141,20102011,2,/gamecenter/edm-vs-chi/2010/10/29/2010020141
2010020142,20102011,2,/gamecenter/njd-vs-ana/2010/10/29/2010020142
2010020143,20102011,2,/gamecenter/nyr-vs-tor/2010/10/30/2010020143
2010020144,20102011,2,/gamecenter/fla-vs-mtl/2010/10/30/2010020144
2010020145,20102011,2,/gamecenter/bos-vs-ott/2010/10/30/2010020145
2010020146,20102011,2,/gamecenter/nyi-vs-phi/2010/10/30/2010020146
2010020147,20102011,2,/gamecenter/pit-vs-car/2010/10/30/2010020147
2010020148,20102011,2,/gamecenter/nsh-vs-det/2010/10/30/2010020148
2010020149,20102011,2,/gamecenter/atl-vs-stl/2010/10/30/2010020149
2010020150,20102011,2,/gamecenter/chi-vs-min/2010/10/30/2010020150
2010020151,20102011,2,/gamecenter/buf-vs-dal/2010/10/30/2010020151
2010020152,20102011,2,/gamecenter/cbj-vs-col/2010/10/30/2010020152
2010020153,20102011,2,/gamecenter/tbl-vs-phx/2010/10/30/2010020153
2010020154,20102011,2,/gamecenter/wsh-vs-cgy/2010/10/30/2010020154
2010020155,20102011,2,/gamecenter/njd-vs-lak/2010/10/30/2010020155
2010020156,20102011,2,/gamecenter/ana-vs-sjs/2010/10/30/2010020156
2010020157,20102011,2,/gamecenter/chi-vs-nyr/2010/11/01/2010020157
2010020158,20102011,2,/gamecenter/car-vs-phi/2010/11/01/2010020158
2010020159,20102011,2,/gamecenter/njd-vs-van/2010/11/01/2010020159
2010020160,20102011,2,/gamecenter/ott-vs-tor/2010/11/02/2010020160
2010020161,20102011,2,/gamecenter/mtl-vs-cbj/2010/11/02/2010020161
2010020162,20102011,2,/gamecenter/sjs-vs-min/2010/11/02/2010020162
2010020163,20102011,2,/gamecenter/van-vs-edm/2010/11/02/2010020163
2010020164,20102011,2,/gamecenter/bos-vs-buf/2010/11/03/2010020164
2010020165,20102011,2,/gamecenter/tor-vs-wsh/2010/11/03/2010020165
2010020166,20102011,2,/gamecenter/nyi-vs-car/2010/11/03/2010020166
2010020167,20102011,2,/gamecenter/atl-vs-fla/2010/11/03/2010020167
2010020168,20102011,2,/gamecenter/njd-vs-chi/2010/11/03/2010020168
2010020169,20102011,2,/gamecenter/pit-vs-dal/2010/11/03/2010020169
2010020170,20102011,2,/gamecenter/det-vs-cgy/2010/11/03/2010020170
2010020171,20102011,2,/gamecenter/nsh-vs-phx/2010/11/03/2010020171
2010020172,20102011,2,/gamecenter/tbl-vs-ana/2010/11/03/2010020172
2010020173,20102011,2,/gamecenter/nyr-vs-phi/2010/11/04/2010020173
2010020174,20102011,2,/gamecenter/cbj-vs-atl/2010/11/04/2010020174
2010020175,20102011,2,/gamecenter/nyi-vs-ott/2010/11/04/2010020175
2010020176,20102011,2,/gamecenter/sjs-vs-stl/2010/11/04/2010020176
2010020177,20102011,2,/gamecenter/van-vs-col/2010/11/04/2010020177
